,state,year,group,epsilon_it,event_time,tau_it,stupid_random_var,alpha_i,alpha_t,Y_it
0,1,1981,1998,0.3692332899977052,-17,0,2,0.17248509494936376,-1.0897838304107776,11.451934554536292
1,2,1981,1992,0.08568414059498525,-11,0,2,2.172251596669744,-0.9430270390315658,19.314908698233165
2,3,1981,1998,-0.057824141194120264,-17,0,2,2.26125921454787,-2.2865312695639357,11.916903803789815
3,4,1981,2004,-0.1505518477946444,-23,0,2,0.3429037434137282,-2.0757835957092072,4.1165682999098765
4,5,1981,1998,-0.7392609951837137,-17,0,2,0.39778793963821946,-0.9853902093633822,10.673136735091123
5,6,1981,2004,-0.3599221041973543,-23,0,2,1.6687742560750238,-4.349941278577479,2.9589108733001908
6,7,1981,2004,-0.23031938547989375,-23,0,2,0.40161456081170843,-1.1409259350441026,5.030369240287712
7,8,1981,1986,0.5285611131094579,-5,0,2,1.901791899819466,-0.8362547386810719,25.594098274247852
8,9,1981,1998,0.1718091447842307,-17,0,2,2.5660802783846903,-1.27451006675977,13.46337935640915
9,10,1981,1986,-0.881520077681367,-5,0,2,3.2269332238843074,0.6972469236452279,27.042660069848168
10,11,1981,1998,0.1620419846973975,-17,0,2,2.0998459235200473,-3.071673697230466,11.190214210986978
11,12,1981,1998,-0.19254114020815827,-17,0,2,2.1963262498230343,-2.4094410024275468,11.594344107187329
12,13,1981,1986,-0.33846100015297936,-5,0,2,1.7220174132434392,-0.7885486958757049,24.595007717214756
13,14,1981,1986,0.30583814442043394,-5,0,2,1.9731196459601397,-1.2837535211244284,24.995204269256146
14,15,1981,1998,0.5154997612479755,-17,0,2,2.7735211080984734,0.034936575836808315,15.323957445183257
15,16,1981,1992,0.4656400595580993,-11,0,2,3.567365506816178,-1.956772093826793,20.076233472547486
16,17,1981,2004,-0.41960876161131927,-23,0,2,4.313584626233249,-2.855546779486867,7.038429085135062
17,18,1981,1986,-0.1546061879256073,-5,0,2,2.7968210493196555,-0.2956109683970232,26.346603892997024
18,19,1981,2004,0.16563171570178198,-23,0,2,5.292688568959521,-3.502149526076089,7.956170758585214
19,20,1981,1992,0.4877725635611796,-11,0,2,3.728876398957431,-1.4956807117562638,20.720968250762347
20,21,1981,1992,-0.23958711892264498,-11,0,2,4.178632705651564,-0.7825467387498249,21.156498847979094
21,22,1981,1992,-0.09282948833190856,-11,0,2,3.652788320852177,-1.4328604043825113,20.127098428137757
22,23,1981,1986,-0.5531674870030141,-5,0,2,2.175759739727058,-0.5933868588999482,25.029205393824096
23,24,1981,1992,-0.5981033120403354,-11,0,2,5.68404539636105,-1.6293321124483708,21.456609971872343
24,25,1981,1986,0.406262911197099,-5,0,2,5.736843897092434,-2.014470309180767,28.128636499108765
25,26,1981,1992,0.6781200142854115,-11,0,2,4.918672442881787,-0.7784067886607615,22.818385668506437
26,27,1981,2004,-0.03600506079016692,-23,0,2,5.466990717224872,-0.5450669283527587,10.885918728081947
27,28,1981,2004,0.5017664489460121,-23,0,2,6.115939217704099,-2.281598369216562,10.33610729743355
28,29,1981,1998,0.18081801252381707,-17,0,2,4.237454143113457,-1.4747358827524506,14.943536272884824
29,30,1981,2004,-0.32255987730256214,-23,0,2,5.470947322653705,-1.6072772448831407,9.541110200468003
30,31,1981,1998,0.18069780275420697,-17,0,2,6.9942646796218275,-2.969330496546699,16.205631985829335
31,32,1981,2004,0.7690182832329846,-23,0,2,5.145710576830751,-0.5974853418703947,11.31724351819334
32,33,1981,1986,-0.01791301955497577,-5,0,2,6.893557932166629,-0.297671203577198,30.577973709034456
33,34,1981,2004,0.7823218279070031,-23,0,2,5.443418195376594,-0.6681431009108914,11.557596922372706
34,35,1981,1998,-1.3098725520448722,-17,0,2,7.466429982433526,-2.4330329955239893,15.723524434864665
35,36,1981,1998,0.4109512521876119,-17,0,2,7.164358517702516,0.11806192255782455,19.693371692447954
36,37,1981,1992,0.04352353411908561,-11,0,2,5.784868184094491,-0.32484450596521697,23.50354721224836
37,38,1981,1986,-0.14950367523293373,-5,0,2,8.764739354457172,0.05304008585235842,32.6682757650766
38,39,1981,2004,0.04588038826775115,-23,0,2,7.0654084232019505,-2.0659755456468525,11.045313265822848
39,40,1981,1992,-0.9937844573004464,-11,0,2,7.189747562985619,-1.3485286180744493,22.847434487610723
40,41,1981,2004,-0.10983594391875597,-23,0,2,8.400569197230942,-1.0994683415261277,13.191264911786057
41,42,1981,2004,0.1785562857558732,-23,0,2,9.548637349428716,-2.159640130151953,13.567553505032638
42,43,1981,1992,0.738947022370758,-11,0,2,7.584178181021603,-3.067069703587152,23.256055499805207
43,44,1981,1992,-0.2591351091368237,-11,0,2,8.861679849847972,-2.2171864617070023,24.385358279004144
44,45,1981,1992,-0.4042468014465938,-11,0,2,9.428816500330573,-1.2858457521927473,25.73872394669123
45,46,1981,1992,-0.25087852179226827,-11,0,2,9.893105607263143,-0.790001016834445,26.85222606863643
46,47,1981,1992,0.45770105885103707,-11,0,2,9.576441555277226,-1.1565884888998959,26.877554125228368
47,48,1981,2004,0.16437555482984223,-23,0,2,9.232972160916677,-1.081029210206337,14.316318505540183
48,49,1981,1992,-0.2648801018835194,-11,0,2,8.972409779351281,-3.0511018640386247,23.656427813429136
49,50,1981,1986,0.25663371655667805,-5,0,2,10.086143883046375,-0.3564120634948398,33.98636553610821
50,1,1982,1998,0.048538774674020194,-16,0,2,-0.872139011985607,-3.417979225387155,7.758420537301258
51,2,1982,1992,0.4843224952664446,-10,0,2,-2.5213504834946074,-0.2402877045158316,15.722684307256007
52,3,1982,1998,-0.3510265469386762,-16,0,2,1.0365598041576678,-1.694458714442003,10.991074542776989
53,4,1982,2004,-0.1638310732988841,-22,0,2,1.7039348410861952,-1.780390027975882,5.7597137398114295
54,5,1982,1998,-0.19605407656607882,-16,0,2,-1.3629324355418384,-2.4638829605897663,7.977130527302316
55,6,1982,2004,-0.7317574740660593,-22,0,2,0.19026929529006242,-0.9205350683422491,4.537976752881754
56,7,1982,2004,0.14806013853228803,-22,0,2,2.019154261005198,-1.1582753359411488,7.008939063596337
57,8,1982,1986,0.13052763608994467,-4,0,2,3.657495469711699,0.18354430301188762,27.97156740881353
58,9,1982,1998,0.002556728321230445,-16,0,2,1.820793707675408,-1.7295172468634408,12.093833189133198
59,10,1982,1986,-0.11729356668757346,-4,0,2,1.2719970587708656,0.17985728529513212,25.334560777378424
60,11,1982,1998,-0.7076853710252071,-16,0,2,2.01710355889516,-2.306892567987349,11.002525619882604
61,12,1982,1998,-0.21032266138267952,-16,0,2,3.7748764191481845,-0.744444340979288,14.820109416786217
62,13,1982,1986,-0.17135725826338474,-4,0,2,1.9540358208754647,1.2494808943239208,27.032159456936
63,14,1982,1986,-0.40113863461080945,-4,0,2,2.0008079933497465,0.6706105599791862,26.270279918718124
64,15,1982,1998,-0.08064285583300457,-16,0,2,2.5172564778179676,-2.3296024698074094,12.107011152177554
65,16,1982,1992,0.2020254284072692,-10,0,2,2.246671391741288,-0.6385826827268971,19.81011413742166
66,17,1982,2004,0.9430929506052651,-22,0,2,3.5226703159947954,-3.493141543758648,6.972621722841413
67,18,1982,1986,0.08728890641591948,-4,0,2,5.224678458469561,0.17239031117567571,29.484357676061155
68,19,1982,2004,0.12877519536138218,-22,0,2,4.123079273116029,-1.7493965871374613,8.50245788133995
69,20,1982,1992,-0.03722295788308361,-10,0,2,3.7476464978737125,-2.8698163395321643,18.840607200458464
70,21,1982,1992,-0.9593856076495207,-10,0,2,3.908188731084456,-2.161783843912364,18.78701927952257
71,22,1982,1992,-0.013256937724608439,-10,0,2,2.8368091913033435,-1.2831388967437671,19.540413356834968
72,23,1982,1986,0.03011510497051322,-4,0,2,5.483109777147159,-0.7008597471408262,28.812365134976847
73,24,1982,1992,1.231621056242643,-10,0,2,4.722162802987198,-2.209476935418805,21.744306923811035
74,25,1982,1986,-0.09618048239056126,-4,0,2,4.819520086409375,-0.011021270647816273,28.712318333370995
75,26,1982,1992,0.15077367116680623,-10,0,2,8.393107567844861,-0.7485263910594879,25.79535484795218
76,27,1982,2004,-0.017355884852621656,-22,0,2,5.6987529083656865,-2.3942691319785196,9.287127891534546
77,28,1982,2004,-0.584339018809766,-22,0,2,4.848208949904816,-2.9557915001583632,7.308078430936686
78,29,1982,1998,0.5714114072575103,-16,0,2,5.373642403794457,-0.5512928735834366,17.393760937468528
79,30,1982,2004,0.37596651634338707,-22,0,2,7.148445709196755,-0.5445928869117049,12.979819338628438
80,31,1982,1998,0.39551597352152346,-16,0,2,6.313270410537765,-2.083561483846537,16.62522490021275
81,32,1982,2004,-0.45469372739736946,-22,0,2,4.961722021682633,-2.812166917154821,7.694861377130443
82,33,1982,1986,0.7013971554680496,-4,0,2,7.519228934575203,0.09120766541199626,32.31183375545525
83,34,1982,2004,-0.7009255313961404,-22,0,2,6.131855914461006,-2.558029379746986,8.87290100331788
84,35,1982,1998,0.29342854690013515,-16,0,2,8.873297776217546,-1.7393972006632343,19.42732912245445
85,36,1982,1998,1.0952278129049893,-16,0,2,8.280048065714649,-0.8603468482753287,20.51492903034431
86,37,1982,1992,-0.49526816256534417,-10,0,2,6.952678104341249,-2.909356087507293,21.548053854268613
87,38,1982,1986,-0.28314886480138596,-4,0,2,8.881016361735112,0.9183023248526693,33.51616982178639
88,39,1982,2004,0.04982568254382061,-22,0,2,7.867855510527403,-2.127319475670659,11.790361717400565
89,40,1982,1992,-0.2517378270580996,-10,0,2,8.852773675122219,-1.4114931445621801,25.18954270350194
90,41,1982,2004,-0.7753317155330663,-22,0,2,8.684732817294474,-2.289234154221449,11.62016694753996
91,42,1982,2004,0.034281487403013663,-22,0,2,7.553643345009127,-2.2375706449794817,11.350354187432659
92,43,1982,1992,-0.5311518568630524,-10,0,2,7.956450167682537,-2.7312013034449256,22.69409700737456
93,44,1982,1992,0.2367962153175908,-10,0,2,9.829960817581162,0.4949382274532359,28.56169526035199
94,45,1982,1992,-0.4597121171169016,-10,0,2,8.66522466789346,-0.9586743677293815,25.246838183047178
95,46,1982,1992,0.7749672025087697,-10,0,2,8.796351536758003,-0.5569978695526248,27.014320869714147
96,47,1982,1992,-0.39162664616811854,-10,0,2,8.444877420650647,-0.048450229425957225,26.00480054505657
97,48,1982,2004,-0.1610307581028378,-22,0,2,10.02359906559346,-3.2211624575603004,12.641405849930322
98,49,1982,1992,0.4067586086848349,-10,0,2,11.862524919243146,-0.5265281009647715,29.742755426963207
99,50,1982,1986,-0.6154321582169776,-4,0,2,8.932467085745728,-0.6676410908987935,31.649393836629955
100,1,1983,1998,0.11372996730206471,-15,0,2,0.22421945667275808,-0.6532292247835063,11.684720199191316
101,2,1983,1992,0.653571377141214,-9,0,2,1.8122205554154291,-3.0272274203514953,17.438564512205147
102,3,1983,1998,-0.8037416172806138,-15,0,2,0.5203586087542849,-1.599094300241269,10.117522691232402
103,4,1983,2004,0.0923169292661521,-21,0,2,1.2523717962497338,-2.702820655783962,4.641868069731924
104,5,1983,1998,0.12994139712421177,-15,0,2,-0.062393528146879706,-1.0677370493658445,10.999810819611488
105,6,1983,2004,0.3909114358886552,-21,0,2,1.6283070972076485,-1.629955812631798,6.389262720464506
106,7,1983,2004,-0.618475355439041,-21,0,2,1.2128557349954512,-2.807625894822026,3.7867544847343844
107,8,1983,1986,-0.6602283065421382,-3,0,2,2.585729995679863,-1.0121738641760436,24.91332782496168
108,9,1983,1998,0.2609707828084488,-15,0,2,2.9873860515647515,-1.6106653685573296,13.637691465815871
109,10,1983,1986,0.14849233661659303,-3,0,2,4.589563642018614,-1.1966422273152082,27.54141375132
110,11,1983,1998,0.12524642517293827,-15,0,2,2.779633173213576,-0.6580163045478731,14.246863293838642
111,12,1983,1998,0.17322410474848784,-15,0,2,2.7257963165821666,-1.869207200447446,13.02981322088321
112,13,1983,1986,-0.3400123607892454,-3,0,2,2.794384301577336,-3.2069882193216417,23.24738372146645
